# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.05221926   -0.09001759   -0.04011378    0.00249325    0.59144618   -0.07505188   -0.07488366   -0.00425453
   -0.05222849   -0.09001768   -0.04011371    0.00249325    0.59143662   -0.07505598   -0.07488152   -0.00425232
   -0.05222208   -0.09001150   -0.04011449    0.00249325    0.59145574   -0.07505407   -0.07488154   -0.00425719
   -0.05242677    0.08978987   -0.04009408    0.00225583    0.59180327   -0.07512064   -0.00427163   -0.07472209
   -0.05244549    0.08979301   -0.04009963    0.00225582    0.59177125   -0.07513624   -0.00427327   -0.07472619
   -0.05221829   -0.09001115   -0.04011083    0.00249325    0.59146410   -0.07504767   -0.07487758   -0.00425350
   -0.05243530    0.08978887   -0.04009490    0.00225582    0.59179568   -0.07512556   -0.00427114   -0.07472081
    0.05235989   -0.09023656    0.04009488    0.00216706    0.59101371    0.07509137    0.00411256    0.07491350
   -0.05244701    0.08979400   -0.04010191    0.00225584    0.59176518   -0.07513985   -0.00427546   -0.07472916
   -0.05222061   -0.09001259   -0.04011542    0.00249326    0.59145393   -0.07505460   -0.07488350   -0.00425830
   -0.05222406   -0.09001246   -0.04011232    0.00249324    0.59145386   -0.07505219   -0.07487869   -0.00425359
   -0.05244094    0.08979565   -0.04009817    0.00225582    0.59177187   -0.07513230   -0.00427139   -0.07472638
   -0.05243052    0.08979411   -0.04009667    0.00225582    0.59178760   -0.07512566   -0.00427244   -0.07472622
   -0.05244352    0.08979465   -0.04010091    0.00225582    0.59176849   -0.07513698   -0.00427471   -0.07472892
   -0.05244067    0.08978469   -0.04009538    0.00225582    0.59179852   -0.07512860   -0.00427217   -0.07471857
   -0.05243196    0.08978046   -0.04009092    0.00225585    0.59182127   -0.07511894   -0.00427009   -0.07471317
   -0.05244375    0.08979165   -0.04009932    0.00225582    0.59177631   -0.07513505   -0.00427380   -0.07472565
   -0.05244793    0.08979616   -0.04010292    0.00225584    0.59175855   -0.07514156   -0.00427570   -0.07473109
   -0.05244161    0.08979859   -0.04010032    0.00225582    0.59176266   -0.07513536   -0.00427284   -0.07473014
   -0.05244150    0.08978168   -0.04009857    0.00225588    0.59180077   -0.07513306   -0.00427725   -0.07472129
   -0.05243331    0.08978584   -0.04009604    0.00225583    0.59180307   -0.07512612   -0.00427424   -0.07472153
   -0.05243727    0.08979054   -0.04009745    0.00225581    0.59178740   -0.07512972   -0.00427330   -0.07472429
   -0.05243759    0.08979222   -0.04009879    0.00225582    0.59178210   -0.07513158   -0.00427429   -0.07472659
   -0.05243664    0.08979906   -0.04009981    0.00225582    0.59176737   -0.07513246   -0.00427313   -0.07473080
   -0.05243795    0.08978647   -0.04009685    0.00225582    0.59179602   -0.07512926   -0.00427398   -0.07472177
   -0.05244106    0.08978426   -0.04009510    0.00225583    0.59179930   -0.07512842   -0.00427189   -0.07471795
   -0.05221185   -0.09001381   -0.04011023    0.00249327    0.59146554   -0.07504397   -0.07487931   -0.00425315
   -0.05242727    0.08978999   -0.04009435    0.00225583    0.59180222   -0.07512121   -0.00427181   -0.07472237
   -0.05244229    0.08978774   -0.04009731    0.00225582    0.59178829   -0.07513182   -0.00427309   -0.07472188
   -0.05223594   -0.09001922   -0.04011794    0.00249325    0.59142134   -0.07506478   -0.07488586   -0.00425545
